name,cost_text,coordinates,rooms,desc,available_date,property_type,nearest_schools
518/7 Claremont Street South Yarra VIC 3141,$400 Per Week,"[-37.83820559999999, 144.9935531]","['1 Bed', '1 Bath', '− Parking']","Spacious one-bedroom apartment in near new building. With a luxurious west facing living spilling onto full length balcony to the bedroom, this apartment is perfect for entertaining. Kitchen with stone benches, stainless steel appliances with gas cooking and integrated dishwasher, stylish wide European Oak floors throughout compliment the bright living room with reverse cycle air conditioning","Thursday, 13th October 2022",Apartment / Unit / Flat,"['1.5 km away', '1.6 km away', '2.4 km away']"
4/990-992 Heatherton Road Noble Park VIC 3174,$300,"[-37.964038, 145.162231]","['1 Bed', '1 Bath', '1 Parking']","This recently renovated one bedroom brick veneer unit is situated at the rear of the block and includes kitchen with gas cooking, lounge with laminate wood flooring, spacious bedroom and bathroom plus car space. The location is hard to beat, having the bus run directly out front and being within easy distance to Noble Park and Springvale shopping, schools and amenities.","Wednesday, 5th October 2022",Apartment / Unit / Flat,"['0.3 km away', '0.4 km away', '9.7 km away']"
1/85 Devonshire Road Sunshine VIC 3020,$270,"[-37.7853568, 144.8387695]","['1 Bed', '1 Bath', '1 Parking']","Step inside and be impressed at first glance! Internally this flat comprises of 1 good sized bedroom with built in robes, bright lounge room with beautiful floating wood floor, kitchen with adjoining meals area, bathroom with laundry facilities and an allocated car space. Features include beautiful wood floors, new reverse cycle split system and electric cooking appliances. Property is located","Friday, 7th October 2022",Apartment / Unit / Flat,"['0.7 km away', '1.1 km away', '2.8 km away']"
C221/201/209 High Street Prahran VIC 3181,$313.00 per week,"[-37.8518824, 144.9947656]","['1 Bed', '1 Bath', '1 Parking']","NRAS Applications are required. Please contact us for the application to be emailed to you. The National Rental Affordability Scheme NRAS provides affordable rental for eligible tenants whose total 2020-2021 household gross income thresholds meet the following indicative criteria Household Type and Income being equal to or less than the following: 
1 adult - $52,795
2 adults - $72,993
3 Adults","Wednesday, 26th October 2022",Apartment / Unit / Flat,"['0.3 km away', '0.6 km away', '3.5 km away']"
411/30-34 Bray Street South Yarra VIC 3141,$340 per week,"[-37.8444608, 144.9954419]","['1 Bed', '1 Bath', '− Parking']","This well presented studio apartment is situated in the heart of South Yarra, one of Melbourne best locations on the 7th floor of 'Society Development'
It offers comfortable open plan living and dining, modern well-appointed kitchen with European appliances, dishwasher and reverse cycle air conditioning/heating. modern bathroom and European style laundry and a good size balcony.
Additional","Saturday, 1st October 2022",Apartment / Unit / Flat,"['0.9 km away', '1.3 km away', '3 km away']"
209/5 Dudley Street Caulfield East VIC 3145,$295 per week,"[-37.880464, 145.0480025]","['1 Bed', '1 Bath', '− Parking']"," class=""css-dxogle"">* Unverified feature<svg aria-hidden=""true"" class=""domain-icon css-kry84i"" viewbox=""0 0 18 18""><circle cx=""9.5"" cy=""9.5"" fill=""none"" r=""6.5"" stroke=""currentColor"" stroke-width=""2""></circle><path d=""M9.5 11.5v-3"" fill=""none"" stroke=""currentColor""></path><circle cx=""9.5"" cy=""6.5"" fill=""currentColor"" r="".5""></circle></svg","Wednesday, 7th December 2022",Apartment / Unit / Flat,"['1.1 km away', '1.1 km away', '5.3 km away']"
301/5 Dudley Street Caulfield East VIC 3145,$295 per week,"[-37.880464, 145.0480025]","['1 Bed', '1 Bath', '− Parking']"," class=""css-dxogle"">* Unverified feature<svg aria-hidden=""true"" class=""domain-icon css-kry84i"" viewbox=""0 0 18 18""><circle cx=""9.5"" cy=""9.5"" fill=""none"" r=""6.5"" stroke=""currentColor"" stroke-width=""2""></circle><path d=""M9.5 11.5v-3"" fill=""none"" stroke=""currentColor""></path><circle cx=""9.5"" cy=""6.5"" fill=""currentColor"" r="".5""></circle></svg","Monday, 5th December 2022",Apartment / Unit / Flat,"['1.1 km away', '1.1 km away', '5.3 km away']"
407/386 Spencer Street West Melbourne VIC 3003,$450,"[-37.811364, 144.950875]","['1 Bed', '1 Bath', '− Parking']",Kim Te,"Friday, 21st October 2022",Apartment / Unit / Flat,"['1.4 km away', '1.6 km away']"
304/100 Hawthorn Road Caulfield North VIC 3161,$370 per week,"[-37.8729307, 145.0243247]","['1 Bed', '1 Bath', '1 Parking']"," class=""css-dxogle"">* Unverified feature<svg aria-hidden=""true"" class=""domain-icon css-kry84i"" viewbox=""0 0 18 18""><circle cx=""9.5"" cy=""9.5"" fill=""none"" r=""6.5"" stroke=""currentColor"" stroke-width=""2""></circle><path d=""M9.5 11.5v-3"" fill=""none"" stroke=""currentColor""></path><circle cx=""9.5"" cy=""6.5"" fill=""currentColor"" r="".5""></circle></svg","Monday, 17th October 2022",Apartment / Unit / Flat,"['0.3 km away', '1.9 km away', '6.8 km away']"
8/104 Gooch Street Thornbury VIC 3071,$370 per week,"[-37.7589316, 145.0076165]","['1 Bed', '1 Bath', '1 Parking']",Located in a highly sought after pocket of Thornbury beholds this fully renovated apartment. ,"Saturday, 1st October 2022",Apartment / Unit / Flat,"['0.3 km away', '1.6 km away', '1.9 km away']"
