name,postcode,property_type,bedrooms,bathrooms,parking,schools,cost_text,train_station(m),CBD(m),population2022,population2023,population2024,population2025,income2022,income2023,income2024,income2025
2/4 Rebecca Place Niddrie VIC 3042,3042,Townhouse,3,2,2,0.6,$470 PW/$2042.00 PCM,4456.4,12717.3,15098.0,14973.0,14849.0,14726.0,209100,218037,227359,237084
20/20-28 Spring Street Thomastown VIC 3074,3074,Apartment / Unit / Flat,3,1,1,0.1,$350 Per Week,724.9,16626.0,3952.0,3807.0,3667.0,3532.0,51381,53067,54808,56606
96c Cheddar Road Reservoir VIC 3073,3073,House,5,3,4,0.8,$750 per week,1332.1,14795.1,44917.0,43681.0,42480.0,41315.0,110619,115138,119847,124755
2/70 Messmate Street Lalor VIC 3075,3075,Townhouse,2,2,1,0.5,$400 per week,1886.8,17870.6,24155.0,23632.0,23121.0,22621.0,54028,56217,58495,60865
208/26 Salisbury Street Werribee VIC 3030,3030,Apartment / Unit / Flat,2,2,1,0.6,$400 per week,2278.6,33446.1,83884.0,84882.0,85970.0,87152.0,250099,257670,265481,273539
50 Shipwright Parade Werribee VIC 3030,3030,House,4,2,2,3.6,$435/week,4643.1,41893.5,83884.0,84882.0,85970.0,87152.0,250099,257670,265481,273539
19 Azadi Crescent Strathtulloh VIC 3338,3338,House,4,2,2,2.1,$410,2011.8,44893.1,38097.0,40653.0,43379.0,46288.0,57228,58600,60005,61444
8 Elizabeth Street Melton South VIC 3338,3338,House,2,1,0,0.6,$310 Per Week,1458.9,46250.2,38097.0,40653.0,43379.0,46288.0,57228,58600,60005,61444
15 Arabella Cct Circuit Point Cook VIC 3030,3030,House,4,2,2,1.0,$440.00,5217.3,31028.6,83884.0,84882.0,85970.0,87152.0,250099,257670,265481,273539
31 Marjorie Ave Belmont VIC 3216,3216,House,4,1,3,1.0,$475 weekly,4062.1,86861.3,59229.0,60753.0,62377.0,64109.0,184195,192855,201927,211432
22 Hamilton Street Seddon VIC 3011,3011,House,3,1,0,0.8,$750 pw,1080.5,7814.3,25749.0,25312.0,24882.0,24461.0,135845,141657,147725,154059
21 Errol Street Footscray VIC 3011,3011,House,7,2,1,0.5,$650PW,549.1,7618.7,25749.0,25312.0,24882.0,24461.0,135845,141657,147725,154059
3 Citrinus Street Mount Duneed VIC 3217,3217,House,3,2,2,0.7,$475,3713.0,89485.1,75097.0,78164.0,81416.0,84863.0,292870,307583,323184,339736
2/43 Warleigh Grove Brighton VIC 3186,3186,Townhouse,2,2,1,0.9,$740.00 per week,574.1,12106.5,23358.0,22572.0,21812.0,21078.0,69402,71772,74223,76758
21 Moreton Bay Drive Highton VIC 3216,3216,House,4,2,2,0.5,$550.00,5059.2,83376.8,59229.0,60753.0,62377.0,64109.0,184195,192855,201927,211432
1/28 Jeffcott Street West Melbourne VIC 3003,3003,Apartment / Unit / Flat,2,1,1,1.4,$620.00,528.6,1302.1,3.0,3.0,3.0,3.0,70,17,4,1
13/33-35 Fisher Parade Ascot Vale VIC 3032,3032,Apartment / Unit / Flat,2,1,2,0.9,$480pw / $2086pcm,281.5,7933.8,35686.0,34957.0,34252.0,33571.0,199379,207294,215524,224082
216/145 Roden Street West Melbourne VIC 3003,3003,Apartment / Unit / Flat,1,1,1,1.1,$400,700.8,2268.5,3.0,3.0,3.0,3.0,70,17,4,1
606v/162 Albert Street East Melbourne VIC 3002,3002,Apartment / Unit / Flat,2,1,1,0.9,$500,1006.5,2416.4,5563.0,5334.0,5113.0,4902.0,76940,79784,82733,85791
4/9 Robert Street Elwood VIC 3184,3184,Apartment / Unit / Flat,1,1,1,0.4,$325 Per Week,844.1,8514.3,15328.0,14698.0,14093.0,13513.0,71039,72528,74048,75600
8 Loretta Way Aintree VIC 3336,3336,House,3,2,2,4.7,$420.00 Per Week,3558.5,38075.5,4415.0,5931.0,7968.0,10704.0,72222,77809,83828,90313
1/447 Lygon Street Brunswick East VIC 3057,3057,Townhouse,2,1,1,0.6,$570pw /$2477pcm,1417.7,5929.3,14522.0,14550.0,14578.0,14607.0,73120,77122,81343,85795
195 Parer Road Airport West VIC 3042,3042,Townhouse,3,1,1,1.2,$395pw $1716pcm,8125.0,16299.8,15098.0,14973.0,14849.0,14726.0,209100,218037,227359,237084
307/115-117 Pier Street Altona VIC 3018,3018,Apartment / Unit / Flat,2,1,1,0.7,$370 per week,619.9,17481.4,14012.0,13940.0,13868.0,13797.0,72312,74951,77686,80521
712/39 Coventry St Southbank VIC 3006,3006,Apartment / Unit / Flat,2,1,1,1.4,$560 weekly,1490.2,2684.4,28091.0,27075.0,26096.0,25153.0,126739,130222,133801,137480
5A Gracie Street Northcote VIC 3070,3070,House,3,1,1,0.5,$550.00,664.2,6485.8,26596.0,25814.0,25056.0,24319.0,75006,78464,82081,85865
3/13 Myers Street Sunshine West VIC 3020,3020,Apartment / Unit / Flat,1,1,0,0.5,$255,1681.4,20547.3,39344.0,38004.0,36712.0,35467.0,194856,199417,204092,208885
2/145 Hope Street Geelong West VIC 3218,3218,House,2,1,1,0.6,$390.00,1844.8,77303.7,19644.0,19858.0,20074.0,20294.0,132079,138025,144254,150781
